lead_id,created_at,brand,utm_source,utm_medium,utm_campaign,lead_status,deal_amount_usd
L-74633,2026-05-16 18:56:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-73512,2026-07-10 13:57:00,PKF,,,,Lead,
L-73457,2026-07-04 21:55:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,SQL,
L-77165,2026-06-04 09:51:00,AUR,,,,Lead,
L-76407,2026-05-15 10:15:00,AUR,Google Ads,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-77436,2026-05-07 08:40:00,PKF,,,,MQL,
L-78440,2026-07-15 14:28:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-74131,2026-06-10 13:27:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-74125,2026-06-09 20:50:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-81757,2026-06-02 16:38:00,AUR,google,paid_social,(not set),Lead,
L-70670,2026-07-01 09:42:00,AUR,,,,MQL,
L-74520,2026-05-07 21:26:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,MQL,
L-78139,2026-06-23 13:06:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-81583,2026-05-18 22:07:00,AUR,,,,MQL,
L-80939,2026-07-03 22:08:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-72713,2026-05-18 08:39:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-78154,2026-06-23 08:11:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-72793,2026-05-22 14:56:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-80991,2026-07-08 09:49:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,SQL,
L-74734,2026-05-27 09:29:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-75316,2026-07-20 20:26:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-80344,2026-06-24 18:18:00,AUR,,,,Lead,
L-78322,2026-07-04 09:17:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-73754,2026-07-24 10:49:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-80147,2026-05-11 16:40:00,AUR,,,,MQL,
L-75146,2026-07-04 19:18:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-77587,2026-05-17 13:00:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-72192,2026-05-24 11:46:00,AUR,,,,MQL,
L-73255,2026-06-24 21:39:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-79346,2026-06-04 18:58:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-78262,2026-07-01 18:45:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-73977,2026-05-16 18:24:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-70364,2026-06-10 18:12:00,AUR,,,,MQL,
L-77867,2026-06-06 22:49:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-74812,2026-06-03 10:13:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-73130,2026-06-16 16:38:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-71911,2026-07-12 13:52:00,AUR,facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-80718,2026-05-31 21:17:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-71426,2026-05-28 18:39:00,AUR,,,,Lead,
L-79995,2026-06-30 18:12:00,NMB,google,cpc,NMB_US_PMax_2026Q2,MQL,
L-79142,2026-05-09 21:43:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Closed Won,2400
L-78647,2026-07-26 08:16:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-82087,2026-07-01 23:55:00,NMB,google,paid_social,(not set),Lead,
L-75766,2026-06-02 17:58:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-74550,2026-05-10 17:45:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-70389,2026-06-10 21:08:00,AUR,,,,Lead,
L-71051,2026-07-31 18:46:00,AUR,,,,Lead,
L-79827,2026-07-29 08:59:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-81495,2026-05-10 13:05:00,NMB,google,paid_social,(not set),SQL,
L-76005,2026-07-01 18:46:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-70295,2026-06-01 18:04:00,AUR,,,,Lead,
L-76780,2026-07-02 18:30:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,MQL,
L-71512,2026-06-05 20:23:00,AUR,meta,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-77343,2026-07-23 22:22:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-81292,2026-06-24 12:06:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,MQL,
L-75735,2026-05-30 22:40:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-75492,2026-07-31 22:34:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76916,2026-07-20 22:35:00,AUR,Google Ads,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-78897,2026-06-16 12:30:00,PKF,,,,Lead,
L-76416,2026-05-16 17:01:00,AUR,,,,Closed Won,8800
L-78824,2026-05-28 12:06:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,Lead,
L-75437,2026-07-29 14:50:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-81120,2026-07-24 16:59:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Closed Won,1900
L-74508,2026-05-05 16:03:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-72527,2026-05-06 17:27:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-70726,2026-07-07 19:15:00,AUR,paid_social,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-70269,2026-05-27 16:04:00,AUR,,,,Lead,
L-73966,2026-05-16 22:56:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-81342,2026-07-15 17:23:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-81549,2026-05-15 10:04:00,AUR,google,paid_social,(not set),Lead,
L-81427,2026-05-04 13:52:00,PKF,google,paid_social,(not set),MQL,
L-70949,2026-07-24 13:33:00,AUR,,,,Lead,
L-81314,2026-07-06 09:28:00,NMB,tiktok,paid_social,NMB_TikTok_Prospecting_2026Q2,MQL,
L-73956,2026-05-15 16:42:00,PKF,fb,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-79846,2026-07-30 09:54:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-80918,2026-06-29 15:08:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-75138,2026-07-01 13:15:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-78311,2026-07-05 19:22:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-70371,2026-06-10 19:21:00,AUR,fb,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-78949,2026-06-29 12:37:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,Lead,
L-73643,2026-07-17 15:17:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,MQL,
L-77242,2026-06-26 10:22:00,AUR,,,,MQL,
L-72489,2026-05-04 14:49:00,PKF,,,,SQL,
L-80038,2026-07-27 18:18:00,NMB,Google Ads,cpc,NMB_US_PMax_2026Q2,MQL,
L-71352,2026-05-25 09:53:00,AUR,,,,MQL,
L-72675,2026-05-16 21:53:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-74907,2026-06-12 16:17:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-75918,2026-06-21 15:18:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-82312,2026-07-22 09:46:00,AUR,google,paid_social,(not set),Lead,
L-80082,2026-06-26 09:39:00,AUR,google,cpc,AUR_US_Video_Test_B,MQL,
L-70089,2026-05-12 17:16:00,AUR,,,,Lead,
L-74523,2026-05-06 17:14:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-74217,2026-06-25 18:04:00,PKF,fb,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-73617,2026-07-15 19:24:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-78574,2026-07-24 11:49:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-75357,2026-07-21 12:55:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-78413,2026-07-14 08:27:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-81575,2026-05-17 16:57:00,AUR,google,paid_social,(not set),SQL,
L-74511,2026-05-06 21:31:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-78827,2026-05-28 17:09:00,PKF,adwords,cpc,pkf|nonbrand|search|may26,Lead,
L-79179,2026-05-13 11:18:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-80649,2026-05-23 16:58:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-70237,2026-05-26 09:05:00,AUR,,,,MQL,
L-79187,2026-05-16 21:46:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,SQL,
L-70456,2026-06-17 13:23:00,AUR,,,,MQL,
L-77303,2026-07-13 15:30:00,AUR,,,,MQL,
L-71712,2026-06-26 21:41:00,AUR,,,,Lead,
L-74641,2026-05-19 15:03:00,NMB,paid_social,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76519,2026-05-29 20:36:00,AUR,,,,Lead,
L-80648,2026-05-23 08:29:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-81414,2026-05-03 18:51:00,NMB,google,paid_social,(not set),SQL,
L-72390,2026-07-17 22:36:00,AUR,paid_social,paid_social,aurelia|prospecting|meta|may26,Lead,
L-82358,2026-07-26 20:35:00,PKF,google,paid_social,(not set),Lead,
L-78946,2026-06-29 22:31:00,PKF,Google Ads,cpc,pkf|nonbrand|search|may26,MQL,
L-74452,2026-07-30 16:46:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-81109,2026-07-23 19:59:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-74845,2026-06-06 11:46:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-75193,2026-07-09 13:23:00,NMB,,,,MQL,
L-78606,2026-07-26 10:46:00,PKF,,,,Lead,
L-77416,2026-05-05 22:36:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Closed Won,8800
L-76425,2026-05-18 15:36:00,AUR,,,,MQL,
L-74808,2026-06-03 17:45:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-76305,2026-05-02 14:05:00,AUR,,,,SQL,
L-72991,2026-06-05 20:39:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-72662,2026-05-14 20:05:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,MQL,
L-79295,2026-05-29 12:48:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Closed Won,2400
L-77569,2026-05-15 12:17:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-77208,2026-06-19 14:04:00,AUR,,,,Lead,
L-80379,2026-07-04 15:27:00,AUR,,,,Lead,
L-77518,2026-05-12 17:13:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-80278,2026-06-13 10:57:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Closed Won,1900
L-71299,2026-05-21 16:34:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-72236,2026-06-04 21:34:00,AUR,facebook,paid_social,aurelia|prospecting|meta|may26,Lead,
L-74916,2026-06-12 08:53:00,NMB,,,,Lead,
L-74126,2026-06-11 15:03:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,MQL,
L-74984,2026-06-17 15:55:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-71981,2026-07-18 08:00:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Closed Won,3600
L-78820,2026-05-29 09:36:00,PKF,google,cpc,pkf|nonbrand|search|may26,Closed Won,2400
L-74432,2026-07-26 14:34:00,PKF,facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-77219,2026-06-22 12:39:00,AUR,,,,MQL,
L-80245,2026-06-04 11:11:00,AUR,,,,MQL,
L-74108,2026-06-08 11:15:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-77235,2026-06-26 13:44:00,AUR,,,,MQL,
L-77598,2026-05-18 10:19:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-80438,2026-07-17 19:43:00,AUR,tiktok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-80823,2026-06-16 15:53:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-71948,2026-07-16 11:08:00,AUR,facebook,paid_social,AUR_EU_Meta_Retargeting_2026Q2,MQL,
L-71558,2026-06-12 11:16:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-81579,2026-05-17 07:05:00,PKF,google,paid_social,(not set),MQL,
L-71821,2026-07-04 19:54:00,AUR,,,,MQL,
L-77277,2026-07-04 08:17:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-71668,2026-06-22 11:21:00,AUR,,,,Lead,
L-80467,2026-07-24 13:07:00,AUR,,,,Lead,
L-75228,2026-07-10 15:12:00,NMB,,,,MQL,
L-77135,2026-05-31 14:08:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-76594,2026-06-08 13:57:00,AUR,,,,SQL,
L-77842,2026-06-05 22:14:00,PKF,,,,MQL,
L-70400,2026-06-11 12:03:00,AUR,,,,Lead,
L-72217,2026-05-28 17:49:00,AUR,,,,Lead,
L-76000,2026-07-01 22:12:00,NMB,meta,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-73576,2026-07-11 12:06:00,PKF,,,,MQL,
L-78870,2026-06-08 17:50:00,PKF,,,,Lead,
L-79446,2026-06-15 13:40:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Closed Won,1900
L-77747,2026-05-29 09:07:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-74028,2026-05-22 20:08:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-81702,2026-05-28 14:39:00,PKF,google,paid_social,(not set),SQL,
L-75009,2026-06-19 14:11:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-81591,2026-05-18 10:28:00,NMB,google,paid_social,(not set),SQL,
L-82248,2026-07-16 16:37:00,AUR,google,paid_social,(not set),MQL,
L-74900,2026-06-09 14:46:00,NMB,meta,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-78134,2026-06-22 17:42:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-77364,2026-07-27 14:58:00,AUR,,,,Lead,
L-72796,2026-05-22 08:50:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,Lead,
L-73129,2026-06-14 17:41:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-79177,2026-05-14 14:02:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-73374,2026-06-29 13:31:00,PKF,,,,Lead,
L-77934,2026-06-12 10:05:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-76429,2026-05-19 22:18:00,AUR,adwords,cpc,AUR_US_Search_Brand_2026Q2,Closed Won,3600
L-76421,2026-05-16 11:52:00,AUR,,,,SQL,
L-76119,2026-07-14 22:32:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-71769,2026-07-01 08:46:00,AUR,,,,Closed Won,3600
L-77401,2026-05-04 15:01:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-81132,2026-07-25 12:28:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-75676,2026-05-22 09:54:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-81956,2026-06-19 20:08:00,NMB,,,,Lead,
L-79893,2026-05-13 16:12:00,NMB,google,cpc,NMB_US_PMax_2026Q2,MQL,
L-74575,2026-05-13 21:22:00,NMB,fb,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-77670,2026-05-24 16:11:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-70994,2026-07-28 16:25:00,AUR,,,,Lead,
L-70309,2026-06-03 10:25:00,AUR,,,,Closed Won,5200
L-77305,2026-07-13 14:10:00,AUR,,,,MQL,
L-72937,2026-06-01 19:09:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,SQL,
L-78810,2026-05-28 15:14:00,PKF,google,cpc,pkf|nonbrand|search|may26,Lead,
L-79772,2026-07-22 10:23:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-70011,2026-05-03 19:29:00,AUR,,,,MQL,
L-80747,2026-06-05 10:17:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,MQL,
L-77666,2026-05-24 16:36:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-77016,2026-05-05 12:51:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,Lead,
L-79089,2026-05-01 16:38:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-70370,2026-06-09 17:17:00,AUR,,,,Lead,
L-73289,2026-06-26 13:57:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-77389,2026-05-01 12:20:00,PKF,Google Ads,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-81801,2026-06-05 19:05:00,PKF,google,paid_social,(not set),SQL,
L-76693,2026-06-22 08:12:00,AUR,,,,Closed Won,2400
L-78343,2026-07-08 14:31:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-72934,2026-06-02 18:51:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,MQL,
L-70513,2026-06-19 18:35:00,AUR,,,,MQL,
L-74016,2026-05-20 11:14:00,PKF,facebook,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-72483,2026-05-05 12:32:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-73816,2026-07-29 18:19:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-75227,2026-07-11 10:10:00,NMB,,,,Lead,
L-70859,2026-07-17 17:33:00,AUR,,,,Lead,
L-80475,2026-07-29 08:04:00,AUR,,,,MQL,
L-73521,2026-07-10 09:50:00,PKF,,,,Lead,
L-81351,2026-07-18 16:25:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-72916,2026-06-01 19:25:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,Lead,
L-72193,2026-05-24 12:43:00,AUR,,,,Lead,
L-78077,2026-06-19 15:08:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-76976,2026-07-29 09:34:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,Lead,
L-73611,2026-07-14 10:22:00,PKF,Facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-71272,2026-05-18 19:40:00,AUR,meta,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-81220,2026-05-19 10:10:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-77116,2026-05-26 08:53:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-74412,2026-07-23 16:12:00,PKF,meta,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-74382,2026-07-17 21:34:00,PKF,paid_social,paid_social,PKF_CA_Meta_Prospecting,Lead,
L-76563,2026-06-03 10:20:00,AUR,,,,Lead,
L-76562,2026-06-03 19:48:00,AUR,google,cpc,AUR_US_Search_Brand_2026Q2,SQL,
L-75954,2026-06-24 10:28:00,NMB,,,,Lead,
L-81161,2026-07-31 13:54:00,PKF,tiktok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78285,2026-07-03 15:48:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-76039,2026-07-04 11:55:00,NMB,facebook,paid_social,NMB_US_Meta_Retargeting_2026Q2,SQL,
L-71421,2026-05-28 14:08:00,AUR,paid_social,paid_social,AUR_EU_Meta_Retargeting_2026Q2,Lead,
L-77081,2026-05-20 13:44:00,AUR,Google Ads,cpc,AUR_EU_Search_NonBrand_2026Q2,SQL,
L-78266,2026-06-30 20:30:00,PKF,google,cpc,PKF_US_Search_Brand_2026Q2,MQL,
L-72538,2026-05-07 17:09:00,PKF,paid_social,paid_social,PKF_US_Meta_Conversions,MQL,
L-77954,2026-06-12 11:00:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,SQL,
L-75753,2026-06-01 08:25:00,NMB,fb,paid_social,NMB_US_Meta_Retargeting_2026Q2,Lead,
L-80214,2026-05-28 18:15:00,AUR,,,,Lead,
L-81297,2026-06-24 19:40:00,NMB,TikTok,paid_social,NMB_TikTok_Prospecting_2026Q2,Lead,
L-78972,2026-07-07 21:35:00,PKF,google,cpc,pkf|nonbrand|search|may26,Lead,
L-70724,2026-07-06 18:18:00,AUR,,,,MQL,
L-75830,2026-06-10 14:06:00,NMB,paid_social,paid_social,NMB_US_Meta_Retargeting_2026Q2,MQL,
L-80271,2026-06-10 15:26:00,AUR,TikTok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-74970,2026-06-17 19:25:00,NMB,facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-74754,2026-05-28 13:46:00,NMB,Facebook,paid_social,NMB_US_Meta_Prospecting_2026Q2,Lead,
L-81069,2026-07-19 11:40:00,PKF,,,,Lead,
L-70284,2026-05-31 13:44:00,AUR,,,,Lead,
L-71428,2026-05-31 08:25:00,AUR,fb,paid_social,AUR_EU_Meta_Retargeting_2026Q2,MQL,
L-80685,2026-05-29 09:29:00,PKF,,,,MQL,
L-70197,2026-05-21 09:42:00,AUR,facebook,paid_social,AUR_US_Meta_Prospecting_2026Q2,Lead,
L-78158,2026-06-23 18:39:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-79681,2026-07-12 12:49:00,NMB,Google Ads,cpc,NMB_US_Search_Brand_2026Q2,MQL,
L-81057,2026-07-18 18:53:00,PKF,TikTok,paid_social,PKF_TikTok_Spark_2026Q2,Lead,
L-78289,2026-07-03 19:53:00,PKF,adwords,cpc,PKF_US_Search_Brand_2026Q2,Lead,
L-73910,2026-05-09 12:10:00,PKF,,,,Lead,
L-77356,2026-07-25 22:11:00,AUR,google,cpc,AUR_EU_Search_NonBrand_2026Q2,MQL,
L-73861,2026-07-31 17:56:00,PKF,fb,paid_social,PKF_US_Meta_Conversions,Lead,
L-72636,2026-05-13 22:08:00,PKF,facebook,paid_social,PKF_US_Meta_Conversions,Lead,
L-81924,2026-06-17 22:06:00,PKF,google,paid_social,(not set),MQL,
L-72160,2026-05-13 16:22:00,AUR,,,,SQL,
L-80462,2026-07-25 11:33:00,AUR,tiktok,paid_social,AUR_TikTok_Prospecting_2026Q2,Lead,
L-81779,2026-06-03 14:04:00,PKF,google,paid_social,(not set),MQL,
L-77307,2026-07-12 10:45:00,AUR,,,,Lead,
L-77379,2026-05-02 10:45:00,PKF,,,,SQL,
L-73429,2026-07-04 16:25:00,PKF,meta,paid_social,PKF_US_Meta_Conversions,MQL,
L-81597,2026-05-19 13:49:00,AUR,google,paid_social,(not set),Lead,
L-76706,2026-06-23 14:42:00,AUR,,,,SQL,
L-72998,2026-06-05 10:01:00,PKF,,,,Lead,
L-70338,2026-06-04 16:41:00,AUR,meta,paid_social,AUR_US_Meta_Prospecting_2026Q2,MQL,
L-70499,2026-06-20 08:55:00,AUR,,,,SQL,
L-76331,2026-05-06 09:16:00,AUR,,,,Closed Won,3600
L-79703,2026-07-16 17:48:00,NMB,adwords,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-70527,2026-06-22 10:25:00,AUR,,,,MQL,
L-79813,2026-07-26 18:22:00,NMB,google,cpc,NMB_US_Search_Brand_2026Q2,Lead,
L-78930,2026-06-24 18:49:00,PKF,Google Ads,cpc,pkf|nonbrand|search|may26,Lead,
L-78998,2026-07-12 08:18:00,PKF,Google Ads,cpc,pkf|nonbrand|search|may26,MQL,
L-74268,2026-07-01 19:44:00,PKF,Facebook,paid_social,PKF_CA_Meta_Prospecting,Closed Won,8800
