date,campaign_id,campaign_name,impressions,clicks,spend,conversions,extracted_at
2026-07-02,F-1001,AUR_US_Meta_Prospecting_2026Q2,34356,361,321.36,14,2026-08-01 03:12:44
2026-07-03,F-1001,AUR_US_Meta_Prospecting_2026Q2,45908,480,406.11,15,2026-08-01 03:12:44
2026-07-04,F-1001,AUR_US_Meta_Prospecting_2026Q2,32813,340,303.54,12,2026-08-01 03:12:44
2026-07-05,F-1001,AUR_US_Meta_Prospecting_2026Q2,24317,245,256.39,10,2026-08-01 03:12:44
2026-07-06,F-1001,AUR_US_Meta_Prospecting_2026Q2,47177,556,424.89,17,2026-08-01 03:12:44
2026-07-07,F-1001,AUR_US_Meta_Prospecting_2026Q2,48948,494,469.76,18,2026-08-01 03:12:44
2026-07-08,F-1001,AUR_US_Meta_Prospecting_2026Q2,40010,469,391.49,0,2026-08-01 03:12:44
2026-07-09,F-1001,AUR_US_Meta_Prospecting_2026Q2,41604,397,363.49,0,2026-08-01 03:12:44
2026-07-10,F-1001,AUR_US_Meta_Prospecting_2026Q2,38516,406,354.79,0,2026-08-01 03:12:44
2026-07-11,F-1001,AUR_US_Meta_Prospecting_2026Q2,27606,295,243.94,0,2026-08-01 03:12:44
2026-07-12,F-1001,AUR_US_Meta_Prospecting_2026Q2,23728,237,228.81,9,2026-08-01 03:12:44
2026-07-13,F-1001,AUR_US_Meta_Prospecting_2026Q2,45718,569,432.15,12,2026-08-01 03:12:44
2026-07-14,F-1001,AUR_US_Meta_Prospecting_2026Q2,40060,447,422.26,11,2026-08-01 03:12:44
2026-07-15,F-1001,AUR_US_Meta_Prospecting_2026Q2,44582,535,425.74,16,2026-08-01 03:12:44
2026-07-16,F-1001,AUR_US_Meta_Prospecting_2026Q2,48852,497,468.96,6,2026-08-01 03:12:44
2026-07-17,F-1001,AUR_US_Meta_Prospecting_2026Q2,44929,551,407.49,15,2026-08-01 03:12:44
2026-07-18,F-1001,AUR_US_Meta_Prospecting_2026Q2,23503,258,239.51,9,2026-08-01 03:12:44
2026-07-19,F-1001,AUR_US_Meta_Prospecting_2026Q2,30148,376,298.72,13,2026-08-01 03:12:44
2026-07-20,F-1001,AUR_US_Meta_Prospecting_2026Q2,42863,460,431.59,13,2026-08-01 03:12:44
2026-07-21,F-1001,AUR_US_Meta_Prospecting_2026Q2,39260,486,389.65,19,2026-08-01 03:12:44
2026-07-22,F-1001,AUR_US_Meta_Prospecting_2026Q2,48302,503,488.99,17,2026-08-01 03:12:44
2026-07-23,F-1001,AUR_US_Meta_Prospecting_2026Q2,40215,475,369.96,7,2026-08-01 03:12:44
2026-07-24,F-1001,AUR_US_Meta_Prospecting_2026Q2,43971,505,388.09,11,2026-08-01 03:12:44
2026-07-25,F-1001,AUR_US_Meta_Prospecting_2026Q2,29913,356,308.0,14,2026-08-01 03:12:44
2026-07-26,F-1001,AUR_US_Meta_Prospecting_2026Q2,33503,419,294.21,13,2026-08-01 03:12:44
2026-07-27,F-1001,AUR_US_Meta_Prospecting_2026Q2,40324,503,384.91,19,2026-08-01 03:12:44
2026-07-28,F-1001,AUR_US_Meta_Prospecting_2026Q2,50130,611,468.42,30,2026-08-01 03:12:44
2026-07-29,F-1001,AUR_US_Meta_Prospecting_2026Q2,46960,528,387.85,10,2026-08-01 03:12:44
2026-07-29,F-1001,AUR_US_Meta_Prospecting_2026Q2,46960,528,442.95,13,2026-08-04 03:09:10
2026-07-30,F-1001,AUR_US_Meta_Prospecting_2026Q2,51099,498,405.0,14,2026-08-01 03:12:44
2026-07-30,F-1001,AUR_US_Meta_Prospecting_2026Q2,51099,498,445.71,18,2026-08-04 03:09:10
2026-07-31,F-1001,AUR_US_Meta_Prospecting_2026Q2,40680,430,363.72,13,2026-08-01 03:12:44
2026-07-31,F-1001,AUR_US_Meta_Prospecting_2026Q2,40680,430,394.82,16,2026-08-04 03:09:10
2026-05-01,F-1002,AUR_EU_Meta_Retargeting_2026Q2,17836,289,177.65,12,2026-08-01 03:12:44
2026-05-02,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16162,223,145.57,12,2026-08-01 03:12:44
2026-05-03,F-1002,AUR_EU_Meta_Retargeting_2026Q2,10439,144,109.13,5,2026-08-01 03:12:44
2026-05-04,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18238,324,162.37,16,2026-08-01 03:12:44
2026-05-05,F-1002,AUR_EU_Meta_Retargeting_2026Q2,25003,365,219.66,13,2026-08-01 03:12:44
2026-05-06,F-1002,AUR_EU_Meta_Retargeting_2026Q2,20061,341,191.11,14,2026-08-01 03:12:44
2026-05-07,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18086,294,179.22,14,2026-08-01 03:12:44
2026-05-08,F-1002,AUR_EU_Meta_Retargeting_2026Q2,17612,259,184.91,11,2026-08-01 03:12:44
2026-05-09,F-1002,AUR_EU_Meta_Retargeting_2026Q2,14556,236,126.78,14,2026-08-01 03:12:44
2026-05-10,F-1002,AUR_EU_Meta_Retargeting_2026Q2,11322,190,101.39,7,2026-08-01 03:12:44
2026-05-11,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16800,229,173.59,7,2026-08-01 03:12:44
2026-05-12,F-1002,AUR_EU_Meta_Retargeting_2026Q2,17661,242,184.08,11,2026-08-01 03:12:44
2026-05-13,F-1002,AUR_EU_Meta_Retargeting_2026Q2,25624,459,227.13,25,2026-08-01 03:12:44
2026-05-14,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18895,274,196.61,8,2026-08-01 03:12:44
2026-05-15,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21290,308,188.87,14,2026-08-01 03:12:44
2026-05-16,F-1002,AUR_EU_Meta_Retargeting_2026Q2,15931,249,151.51,13,2026-08-01 03:12:44
2026-05-17,F-1002,AUR_EU_Meta_Retargeting_2026Q2,11089,163,110.58,10,2026-08-01 03:12:44
2026-05-18,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22864,401,213.96,17,2026-08-01 03:12:44
2026-05-19,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21343,364,224.66,19,2026-08-01 03:12:44
2026-05-20,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22829,361,198.48,16,2026-08-01 03:12:44
2026-05-21,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22343,385,195.88,11,2026-08-01 03:12:44
2026-05-22,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16445,264,146.81,11,2026-08-01 03:12:44
2026-05-23,F-1002,AUR_EU_Meta_Retargeting_2026Q2,13191,188,119.93,11,2026-08-01 03:12:44
2026-05-24,F-1002,AUR_EU_Meta_Retargeting_2026Q2,10865,179,104.0,13,2026-08-01 03:12:44
2026-05-25,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16143,234,166.43,15,2026-08-01 03:12:44
2026-05-26,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19319,300,182.98,12,2026-08-01 03:12:44
2026-05-27,F-1002,AUR_EU_Meta_Retargeting_2026Q2,26053,447,229.29,15,2026-08-01 03:12:44
2026-05-28,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18751,312,169.96,13,2026-08-01 03:12:44
2026-05-29,F-1002,AUR_EU_Meta_Retargeting_2026Q2,15765,240,166.26,7,2026-08-01 03:12:44
2026-05-30,F-1002,AUR_EU_Meta_Retargeting_2026Q2,11753,194,114.76,8,2026-08-01 03:12:44
2026-05-31,F-1002,AUR_EU_Meta_Retargeting_2026Q2,12576,178,118.38,4,2026-08-01 03:12:44
2026-06-01,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19201,332,184.52,20,2026-08-01 03:12:44
2026-06-02,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18881,334,169.5,10,2026-08-01 03:12:44
2026-06-03,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21502,381,189.71,15,2026-08-01 03:12:44
2026-06-04,F-1002,AUR_EU_Meta_Retargeting_2026Q2,17718,251,171.66,9,2026-08-01 03:12:44
2026-06-05,F-1002,AUR_EU_Meta_Retargeting_2026Q2,15382,238,151.73,13,2026-08-01 03:12:44
2026-06-06,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16117,275,143.65,7,2026-08-01 03:12:44
2026-06-07,F-1002,AUR_EU_Meta_Retargeting_2026Q2,14819,243,145.2,15,2026-08-01 03:12:44
2026-06-08,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22281,357,192.75,25,2026-08-01 03:12:44
2026-06-09,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19501,329,205.85,18,2026-08-01 03:12:44
2026-06-10,F-1002,AUR_EU_Meta_Retargeting_2026Q2,23374,374,219.11,21,2026-08-01 03:12:44
2026-06-11,F-1002,AUR_EU_Meta_Retargeting_2026Q2,24716,395,218.9,17,2026-08-01 03:12:44
2026-06-12,F-1002,AUR_EU_Meta_Retargeting_2026Q2,15670,256,148.0,15,2026-08-01 03:12:44
2026-06-13,F-1002,AUR_EU_Meta_Retargeting_2026Q2,10982,200,111.66,10,2026-08-01 03:12:44
2026-06-14,F-1002,AUR_EU_Meta_Retargeting_2026Q2,12035,189,124.57,8,2026-08-01 03:12:44
2026-06-14,F-1002,AUR_EU_Meta_Retargeting_2026Q2,12035,189,124.57,8,2026-08-01 03:12:44
2026-06-15,F-1002,AUR_EU_Meta_Retargeting_2026Q2,20415,285,184.58,12,2026-08-01 03:12:44
2026-06-16,F-1002,AUR_EU_Meta_Retargeting_2026Q2,20383,309,176.93,14,2026-08-01 03:12:44
2026-06-17,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18724,302,178.86,10,2026-08-01 03:12:44
2026-06-18,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16663,254,162.5,12,2026-08-01 03:12:44
2026-06-19,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19376,333,176.77,18,2026-08-01 03:12:44
2026-06-20,F-1002,AUR_EU_Meta_Retargeting_2026Q2,11815,185,116.71,6,2026-08-01 03:12:44
2026-06-21,F-1002,AUR_EU_Meta_Retargeting_2026Q2,15483,211,140.62,7,2026-08-01 03:12:44
2026-06-22,F-1002,AUR_EU_Meta_Retargeting_2026Q2,23169,407,209.01,12,2026-08-01 03:12:44
2026-06-23,F-1002,AUR_EU_Meta_Retargeting_2026Q2,24734,340,220.2,21,2026-08-01 03:12:44
2026-06-24,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22305,378,234.63,13,2026-08-01 03:12:44
2026-06-25,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18324,255,179.71,18,2026-08-01 03:12:44
2026-06-26,F-1002,AUR_EU_Meta_Retargeting_2026Q2,20800,354,181.17,11,2026-08-01 03:12:44
2026-06-27,F-1002,AUR_EU_Meta_Retargeting_2026Q2,12169,206,120.28,9,2026-08-01 03:12:44
2026-06-28,F-1002,AUR_EU_Meta_Retargeting_2026Q2,13205,242,125.66,10,2026-08-01 03:12:44
2026-06-29,F-1002,AUR_EU_Meta_Retargeting_2026Q2,17316,260,175.74,14,2026-08-01 03:12:44
2026-06-30,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22993,356,231.1,12,2026-08-01 03:12:44
2026-07-01,F-1002,AUR_EU_Meta_Retargeting_2026Q2,24534,379,216.43,18,2026-08-01 03:12:44
2026-07-02,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19471,292,194.47,12,2026-08-01 03:12:44
2026-07-03,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16778,308,157.75,13,2026-08-01 03:12:44
2026-07-04,F-1002,AUR_EU_Meta_Retargeting_2026Q2,14595,211,134.66,10,2026-08-01 03:12:44
2026-07-05,F-1002,AUR_EU_Meta_Retargeting_2026Q2,15754,228,149.86,14,2026-08-01 03:12:44
2026-07-06,F-1002,AUR_EU_Meta_Retargeting_2026Q2,20055,321,190.24,17,2026-08-01 03:12:44
2026-07-07,F-1002,AUR_EU_Meta_Retargeting_2026Q2,20271,288,176.23,12,2026-08-01 03:12:44
2026-07-08,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18626,258,183.74,0,2026-08-01 03:12:44
2026-07-09,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19855,346,172.97,0,2026-08-01 03:12:44
2026-07-10,F-1002,AUR_EU_Meta_Retargeting_2026Q2,24198,368,209.22,0,2026-08-01 03:12:44
2026-07-11,F-1002,AUR_EU_Meta_Retargeting_2026Q2,12319,169,119.38,0,2026-08-01 03:12:44
2026-07-12,F-1002,AUR_EU_Meta_Retargeting_2026Q2,12170,219,126.03,8,2026-08-01 03:12:44
2026-07-13,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21127,333,210.47,19,2026-08-01 03:12:44
2026-07-14,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21224,331,184.62,15,2026-08-01 03:12:44
2026-07-15,F-1002,AUR_EU_Meta_Retargeting_2026Q2,23783,391,210.62,14,2026-08-01 03:12:44
2026-07-16,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21868,363,215.11,18,2026-08-01 03:12:44
2026-07-17,F-1002,AUR_EU_Meta_Retargeting_2026Q2,19065,303,165.39,11,2026-08-01 03:12:44
2026-07-18,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16065,264,155.53,9,2026-08-01 03:12:44
2026-07-19,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16489,240,144.33,11,2026-08-01 03:12:44
2026-07-20,F-1002,AUR_EU_Meta_Retargeting_2026Q2,21283,385,190.57,17,2026-08-01 03:12:44
2026-07-21,F-1002,AUR_EU_Meta_Retargeting_2026Q2,23409,366,208.07,14,2026-08-01 03:12:44
2026-07-22,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22059,345,209.63,6,2026-08-01 03:12:44
2026-07-23,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18319,308,168.5,17,2026-08-01 03:12:44
2026-07-24,F-1002,AUR_EU_Meta_Retargeting_2026Q2,16311,289,168.05,16,2026-08-01 03:12:44
2026-07-25,F-1002,AUR_EU_Meta_Retargeting_2026Q2,14592,239,150.55,22,2026-08-01 03:12:44
2026-07-26,F-1002,AUR_EU_Meta_Retargeting_2026Q2,14705,229,152.01,16,2026-08-01 03:12:44
2026-07-27,F-1002,AUR_EU_Meta_Retargeting_2026Q2,24080,360,208.92,21,2026-08-01 03:12:44
2026-07-28,F-1002,AUR_EU_Meta_Retargeting_2026Q2,25093,365,237.68,13,2026-08-01 03:12:44
2026-07-29,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22592,408,176.61,19,2026-08-01 03:12:44
2026-07-29,F-1002,AUR_EU_Meta_Retargeting_2026Q2,22592,408,202.56,24,2026-08-04 03:09:10
2026-07-30,F-1002,AUR_EU_Meta_Retargeting_2026Q2,23331,427,186.62,16,2026-08-01 03:12:44
2026-07-30,F-1002,AUR_EU_Meta_Retargeting_2026Q2,23331,427,213.66,22,2026-08-04 03:09:10
2026-07-31,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18284,256,144.6,5,2026-08-01 03:12:44
2026-07-31,F-1002,AUR_EU_Meta_Retargeting_2026Q2,18284,256,167.12,6,2026-08-04 03:09:10
2026-05-01,F-1003,aurelia|prospecting|meta|may26,14128,122,131.31,2,2026-08-01 03:12:44
2026-05-02,F-1003,aurelia|prospecting|meta|may26,12989,132,115.7,10,2026-08-01 03:12:44
2026-05-03,F-1003,aurelia|prospecting|meta|may26,12204,138,105.49,4,2026-08-01 03:12:44
2026-05-04,F-1003,aurelia|prospecting|meta|may26,12963,111,133.78,2,2026-08-01 03:12:44
2026-05-05,F-1003,aurelia|prospecting|meta|may26,16408,144,154.29,5,2026-08-01 03:12:44
2026-05-06,F-1003,aurelia|prospecting|meta|may26,16563,177,146.2,5,2026-08-01 03:12:44
2026-05-07,F-1003,aurelia|prospecting|meta|may26,13364,114,118.55,4,2026-08-01 03:12:44
2026-05-08,F-1003,aurelia|prospecting|meta|may26,12189,136,114.16,6,2026-08-01 03:12:44
2026-05-09,F-1003,aurelia|prospecting|meta|may26,11910,111,112.41,6,2026-08-01 03:12:44
2026-05-10,F-1003,aurelia|prospecting|meta|may26,9679,110,89.6,3,2026-08-01 03:12:44
2026-05-11,F-1003,aurelia|prospecting|meta|may26,17775,178,163.81,7,2026-08-01 03:12:44
2026-05-12,F-1003,aurelia|prospecting|meta|may26,18490,157,172.42,4,2026-08-01 03:12:44
2026-05-13,F-1003,aurelia|prospecting|meta|may26,13696,139,142.61,4,2026-08-01 03:12:44
2026-05-14,F-1003,aurelia|prospecting|meta|may26,16949,172,163.72,3,2026-08-01 03:12:44
2026-05-15,F-1003,aurelia|prospecting|meta|may26,15279,141,153.23,5,2026-08-01 03:12:44
2026-05-16,F-1003,aurelia|prospecting|meta|may26,12007,134,108.23,4,2026-08-01 03:12:44
2026-05-17,F-1003,aurelia|prospecting|meta|may26,9877,105,91.37,3,2026-08-01 03:12:44
2026-05-18,F-1003,aurelia|prospecting|meta|may26,13522,150,137.84,3,2026-08-01 03:12:44
2026-05-19,F-1003,aurelia|prospecting|meta|may26,19902,207,173.68,8,2026-08-01 03:12:44
2026-05-20,F-1003,aurelia|prospecting|meta|may26,16563,163,149.03,3,2026-08-01 03:12:44
2026-05-21,F-1003,aurelia|prospecting|meta|may26,13348,120,131.09,1,2026-08-01 03:12:44
2026-05-22,F-1003,aurelia|prospecting|meta|may26,14869,128,128.58,3,2026-08-01 03:12:44
2026-05-23,F-1003,aurelia|prospecting|meta|may26,12540,122,115.32,4,2026-08-01 03:12:44
2026-05-24,F-1003,aurelia|prospecting|meta|may26,8197,73,79.33,2,2026-08-01 03:12:44
2026-05-25,F-1003,aurelia|prospecting|meta|may26,15766,148,153.97,6,2026-08-01 03:12:44
2026-05-26,F-1003,aurelia|prospecting|meta|may26,13858,130,138.43,5,2026-08-01 03:12:44
2026-05-27,F-1003,aurelia|prospecting|meta|may26,19465,191,173.52,3,2026-08-01 03:12:44
2026-05-28,F-1003,aurelia|prospecting|meta|may26,15685,147,148.31,4,2026-08-01 03:12:44
2026-05-29,F-1003,aurelia|prospecting|meta|may26,10974,123,114.11,6,2026-08-01 03:12:44
2026-05-30,F-1003,aurelia|prospecting|meta|may26,9948,86,104.13,1,2026-08-01 03:12:44
2026-05-31,F-1003,aurelia|prospecting|meta|may26,7676,85,79.93,2,2026-08-01 03:12:44
2026-06-01,F-1003,aurelia|prospecting|meta|may26,15981,166,144.59,4,2026-08-01 03:12:44
2026-06-02,F-1003,aurelia|prospecting|meta|may26,16841,182,151.66,5,2026-08-01 03:12:44
2026-06-03,F-1003,aurelia|prospecting|meta|may26,15718,157,138.99,4,2026-08-01 03:12:44
2026-06-04,F-1003,aurelia|prospecting|meta|may26,14065,138,144.58,5,2026-08-01 03:12:44
2026-06-05,F-1003,aurelia|prospecting|meta|may26,15936,136,144.24,4,2026-08-01 03:12:44
2026-06-06,F-1003,aurelia|prospecting|meta|may26,9541,107,91.81,2,2026-08-01 03:12:44
2026-06-07,F-1003,aurelia|prospecting|meta|may26,11311,110,102.87,2,2026-08-01 03:12:44
2026-06-08,F-1003,aurelia|prospecting|meta|may26,14602,131,152.1,4,2026-08-01 03:12:44
2026-06-09,F-1003,aurelia|prospecting|meta|may26,17238,150,171.95,2,2026-08-01 03:12:44
2026-06-10,F-1003,aurelia|prospecting|meta|may26,16659,161,160.59,2,2026-08-01 03:12:44
2026-06-11,F-1003,aurelia|prospecting|meta|may26,16469,186,150.66,6,2026-08-01 03:12:44
2026-06-12,F-1003,aurelia|prospecting|meta|may26,11817,131,116.99,3,2026-08-01 03:12:44
2026-06-13,F-1003,aurelia|prospecting|meta|may26,11054,118,101.29,1,2026-08-01 03:12:44
2026-06-14,F-1003,aurelia|prospecting|meta|may26,9377,98,95.77,1,2026-08-01 03:12:44
2026-06-14,F-1003,aurelia|prospecting|meta|may26,9377,98,95.77,1,2026-08-01 03:12:44
2026-06-15,F-1003,aurelia|prospecting|meta|may26,13549,152,118.39,5,2026-08-01 03:12:44
2026-06-16,F-1003,aurelia|prospecting|meta|may26,14442,147,125.95,6,2026-08-01 03:12:44
2026-06-17,F-1003,aurelia|prospecting|meta|may26,16117,150,158.02,4,2026-08-01 03:12:44
2026-06-18,F-1003,aurelia|prospecting|meta|may26,17727,160,159.51,1,2026-08-01 03:12:44
2026-06-19,F-1003,aurelia|prospecting|meta|may26,15170,137,131.36,4,2026-08-01 03:12:44
